Var1,Var2,Var3,Var4,Var5,Var6
0,18,E,E,1,2.2796
0,18,T,T,1,1.4884
0,18,I,I,1,1.4712
0,18,M,M,1,2.1741
0,18,A,A,1,1.7752
0,18,N,N,1,2.0106
0,18,S,S,1,1.8791
0,18,R,N,0,1.7849
0,18,O,O,1,3.2118
0,18,U,I,0,1.5426
0,18,F,F,1,2.6756
0,18,D,D,1,1.9118
0,18,W,T,0,3.9251
0,18,G,G,1,2.8973
10,18,E,E,1,1.7216
10,18,T,T,1,1.8503
10,18,I,I,1,1.7704
10,18,M,M,1,2.3248
10,18,A,A,1,2.0228
10,18,N,N,1,1.9991
10,18,S,S,1,1.8238
10,18,R,W,0,2.2876
10,18,O,O,1,2.7126
10,18,U,U,1,2.3085
10,18,F,F,1,2.539
10,18,D,D,1,2.2591
10,18,W,W,1,2.9005
0,18,E,T,0,1.8943
0,18,T,T,1,1.6988
0,18,I,I,1,1.6076
0,18,M,M,1,2.2212
0,18,A,A,1,1.9842
0,18,N,N,1,1.8944
0,18,S,S,1,1.8075
0,18,R,R,1,2.2103
0,18,O,O,1,2.6359
0,18,U,U,1,2.0842
0,18,F,F,1,2.3486
0,18,D,D,1,2.1302
0,18,W,W,1,2.2872
0,18,G,G,1,2.3032
0,18,E,T,0,2.8655
0,18,T,T,1,1.9792
0,18,I,I,1,1.6429
0,18,M,M,1,2.1349
0,18,A,A,1,1.8254
0,18,N,N,1,1.8527
0,18,S,S,1,1.7141
0,18,R,R,1,2.2218
0,18,O,W,0,2.2784
0,18,U,U,1,2.9142
0,18,F,F,1,2.427
0,18,D,D,1,2.1878
0,18,W,W,1,2.2782
0,18,G,G,1,2.2642
0,18,E,E,1,2.1873
0,18,T,T,1,2.1063
0,18,I,I,1,1.9274
0,18,M,M,1,2.4205
0,18,A,A,1,2.3629
0,18,N,M,0,2.3221
0,18,S,S,1,2.1686
0,18,R,R,1,2.4001
0,18,O,O,1,3.0249
0,18,U,U,1,2.6937
0,18,F,I,0,1.6059
0,18,D,T,0,0.83444
0,18,W,W,1,3.3476
4,17,E,E,1,1.8675
4,17,T,T,1,1.4953
4,17,I,I,1,1.3223
4,17,M,T,0,1.5468
4,17,A,A,1,2.0513
4,17,N,M,0,1.9463
4,17,S,S,1,1.8208
4,17,R,R,1,1.828
4,17,O,O,1,2.1199
4,17,U,U,1,1.9441
4,17,F,F,1,1.9713
4,17,D,D,1,1.6922
4,17,W,W,1,2.2407
4,17,G,G,1,1.9602
4,17,K,K,1,2.08
4,17,H,H,1,1.5609
0,17,E,Not A Valid Character,0,1.6658
0,17,T,T,1,1.7529
0,17,I,I,1,1.602
0,17,M,M,1,2.0847
0,17,A,A,1,1.8049
0,17,N,N,1,1.9119
0,17,S,S,1,1.7311
0,17,R,R,1,2.1871
0,17,O,O,1,2.6823
0,17,U,U,1,2.0309
0,17,F,F,1,2.3323
0,17,D,D,1,2.0309
0,17,W,W,1,2.216
0,17,G,G,1,2.1947
0,17,K,K,1,2.5707
0,17,E,E,1,2.0663
0,17,T,T,1,1.3803
0,17,I,I,1,1.4529
0,17,M,M,1,1.7802
0,17,A,A,1,1.5033
0,17,N,N,1,1.652
0,17,S,S,1,1.6454
0,17,R,R,1,1.8506
0,17,O,O,1,2.3034
0,17,U,U,1,1.9172
0,17,F,F,1,2.0785
0,17,D,D,1,1.9907
0,17,W,W,1,2.1035
0,17,G,G,1,2.133
0,17,K,K,1,2.1788
0,17,H,H,1,1.6549
0,17,E,E,1,5.1718
0,17,T,T,1,1.9033
0,17,I,I,1,1.7294
0,17,M,M,1,2.1002
0,17,A,E,0,1.6583
0,17,N,T,0,0.61155
0,17,S,B,0,2.0237
0,17,R,R,1,2.4352
0,17,O,W,0,2.4641
0,17,U,U,1,2.3185
0,17,F,F,1,2.5786
0,17,D,T,0,1.5942
0,17,W,E,0,0.55311
0,17,G,E,0,0.42273
0,17,K,E,0,5.1166
0,17,E,T,0,1.8299
0,17,T,T,1,0.70229
0,17,I,E,0,0.80501
0,17,M,E,0,0.76328
0,17,A,E,0,0.73479
0,17,N,E,0,0.8321
0,17,S,E,0,0.69854
0,17,R,E,0,0.70535
0,17,O,E,0,0.69472
0,17,U,E,0,0.766
0,17,F,E,0,0.69053
0,17,D,E,0,0.6727
0,17,W,E,0,0.76059
0,17,G,E,0,0.70614
0,17,K,E,0,0.72909
0,17,H,E,0,0.70696
0,17,B,E,0,0.73345
0,17,J,T,0,0.7949
0,17,Q,E,0,0.69399
0,17,V,E,0,0.7148
0,17,X,E,0,0.70951
0,17,Y,E,0,0.72617
0,17,Z,E,0,0.66751
0,17,C,E,0,0.66393
0,17,P,E,0,0.68676
0,17,L,T,0,0.53193
0,17,E,T,0,1.8827
0,17,T,T,1,1.6847
0,17,I,I,1,1.4224
0,17,M,M,1,2.1416
0,17,A,A,1,1.6866
0,17,N,N,1,1.6277
0,17,S,S,1,1.5091
0,17,R,R,1,1.9357
0,17,O,O,1,2.4168
0,17,U,U,1,1.9199
0,17,F,F,1,2.0593
0,17,D,D,1,1.8352
0,17,W,W,1,2.2746
0,17,G,G,1,2.1086
0,17,K,K,1,2.318
0,18,E,E,1,2.607
0,18,T,T,1,1.6
0,18,I,I,1,1.7347
0,18,M,M,1,2.0026
0,18,A,A,1,1.9725
0,18,N,T,0,1.4968
0,18,S,E,0,0.57158
0,18,R,E,0,0.87086
0,18,O,O,1,2.2969
0,18,U,U,1,2.3396
0,18,F,F,1,2.6708
0,18,D,D,1,2.3448
0,18,W,W,1,2.5428
0,18,G,G,1,2.6175
0,18,K,K,1,2.5235
0,18,E,E,1,2.7266
0,18,T,T,1,1.7314
0,18,I,I,1,1.763
0,18,M,E,0,1.4303
0,18,A,T,0,0.61085
0,18,N,N,1,2.2978
0,18,S,S,1,2.048
0,18,R,R,1,2.1653
0,18,O,O,1,2.4183
0,18,U,U,1,2.2906
0,18,F,F,1,2.4779
0,18,D,D,1,2.1192
0,18,W,W,1,2.3919
0,18,G,R,0,2.2764
0,18,E,E,1,2.4213
0,18,T,T,1,1.6165
0,18,I,I,1,1.456
0,18,M,M,1,2.0002
0,18,A,A,1,1.89
0,18,N,N,1,1.8762
0,18,S,S,1,1.8218
0,18,R,R,1,2.1457
0,18,O,O,1,2.5749
0,18,U,U,1,2.2769
0,18,F,F,1,2.324
0,18,D,D,1,1.8955
0,18,W,W,1,2.1773
0,18,G,G,1,2.1539
0,18,E,E,1,2.0503
0,18,T,T,1,1.2971
0,18,I,I,1,1.3124
0,18,M,M,1,1.7288
0,18,A,A,1,1.4093
0,18,N,N,1,1.721
0,18,S,S,1,1.4865
0,18,R,R,1,1.8477
0,18,O,O,1,2.4025
0,18,U,U,1,1.7627
0,18,F,F,1,2.1938
0,18,D,D,1,1.9444
0,18,W,W,1,2.2074
0,18,G,G,1,2.1875
0,18,K,K,1,2.2432
0,18,H,H,1,1.9971
2,7,E,E,1,2.4169
2,7,T,T,1,1.0791
2,7,I,I,1,1.1271
2,7,M,M,1,1.6693
2,7,A,A,1,2.0388
2,7,N,N,1,1.4687
2,7,S,S,1,1.3759
2,7,R,R,1,1.9214
2,7,O,O,1,2.8516
2,7,U,U,1,2.0017
2,7,F,F,1,2.2259
2,7,D,W,0,2.339
2,7,W,W,1,3.0564
2,7,G,E,0,1.4942
2,7,K,A,0,1.2695
2,7,H,H,1,1.8004
2,7,E,E,1,2.5327
2,7,T,T,1,1.7455
2,7,I,I,1,1.1995
2,7,M,M,1,2.1674
2,7,A,A,1,1.8084
2,7,N,N,1,1.6187
2,7,S,S,1,1.4996
2,7,R,R,1,1.9524
2,7,O,O,1,2.8525
2,7,U,U,1,2.2014
2,7,F,F,1,2.2735
2,7,D,D,1,1.975
2,7,W,W,1,2.5391
2,7,G,G,1,2.556
2,7,E,E,1,2.3208
2,7,T,T,1,1.6379
2,7,I,I,1,1.4233
2,7,M,M,1,1.8751
2,7,A,A,1,1.7379
2,7,N,N,1,1.4686
2,7,S,S,1,1.339
2,7,R,R,1,1.7414
2,7,O,O,1,2.5696
2,7,U,A,0,1.8946
2,7,F,F,1,2.26
2,7,D,D,1,2.3408
2,7,W,W,1,2.6121
2,7,G,G,1,2.4049
2,7,K,K,1,2.818
2,7,E,E,1,2.6604
2,7,T,T,1,1.2813
2,7,I,I,1,1.237
2,7,M,M,1,1.7807
2,7,A,A,1,1.5934
2,7,N,N,1,1.4316
2,7,S,S,1,1.248
2,7,R,R,1,1.8736
2,7,O,O,1,2.5854
2,7,U,U,1,2.1892
2,7,F,F,1,2.1944
2,7,D,D,1,2.0135
2,7,W,W,1,2.4177
2,7,G,M,0,2.5574
2,7,K,E,0,0.47819
2,7,H,H,1,1.8484
2,7,B,B,1,2.2317
0,18,E,E,1,2.6836
0,18,T,T,1,1.5496
0,18,I,I,1,1.4718
0,18,M,M,1,2.03
0,18,A,A,1,1.8442
0,18,N,N,1,1.5344
0,18,S,S,1,1.2775
0,18,R,R,1,1.9545
0,18,O,O,1,2.4863
0,18,U,U,1,1.9437
0,18,F,F,1,2.2867
0,18,D,D,1,2.4823
0,18,W,W,1,2.7795
0,18,G,G,1,2.4853
0,18,K,R,0,2.075
0,18,H,H,1,1.8866
2,7,E,T,0,2.384
2,7,T,T,1,2.0071
2,7,I,I,1,2.0487
2,7,M,M,1,2.2828
2,7,A,A,1,2.0558
2,7,N,N,1,2.1468
2,7,S,S,1,2.0622
2,7,R,R,1,2.4064
2,7,O,O,1,2.9106
2,7,U,U,1,2.3636
2,7,F,F,1,2.7219
2,7,D,D,1,2.438
2,7,W,T,0,1.9403
2,7,G,R,0,3.1733
2,7,E,E,1,2.6564
2,7,T,T,1,1.6047
2,7,I,I,1,6.0551
2,7,M,Not A Valid Character,0,2.1786
2,7,A,Not A Valid Character,0,2.939
2,7,N,Not A Valid Character,0,4.9367
2,7,S,Not A Valid Character,0,6.6898
2,7,R,T,0,1.8671
2,7,O,E,0,1.9302
2,7,U,E,0,2.6499
2,7,E,E,1,2.7839
2,7,T,T,1,1.5672
2,7,I,M,0,2.3137
2,7,M,M,1,4.5413
2,7,A,A,1,2.1944
2,7,N,N,1,1.8517
2,7,S,S,1,1.6735
2,7,R,R,1,2.0335
2,7,O,Not A Valid Character,0,2.8383
2,7,U,Not A Valid Character,0,7.0808
2,7,F,F,1,2.9423
2,7,E,E,1,3.624
2,7,T,E,0,0.53217
2,7,I,I,1,5.6674
2,7,M,M,1,1.8937
2,7,A,A,1,1.7202
2,7,N,N,1,1.6029
2,7,S,S,1,1.4006
2,7,R,R,1,1.7181
2,7,O,O,1,2.243
2,7,U,A,0,1.9292
2,7,F,F,1,1.9443
2,7,D,D,1,1.8072
2,7,W,W,1,2.1258
2,7,G,G,1,1.9653
2,7,K,E,0,1.0902
11,17,E,E,1,2.64
11,17,T,T,1,1.8488
11,17,I,I,1,2.12
11,17,M,M,1,2.2721
11,17,A,A,1,2.0495
11,17,N,N,1,2.0996
11,17,S,S,1,1.7942
11,17,R,E,0,1.4049
11,17,O,N,0,0.97919
11,17,U,I,0,2.0331
11,17,F,T,0,0.61233
11,17,D,E,0,2.5568
11,17,W,I,0,0.87124
11,17,G,U,0,2.0686
11,17,K,K,1,2.3621
11,17,H,H,1,1.9651
11,17,B,D,0,2.1358
11,17,E,E,1,2.2764
11,17,T,T,1,1.6228
11,17,I,I,1,1.5572
11,17,M,M,1,2.3296
11,17,A,A,1,2.3966
11,17,N,A,0,2.0645
11,17,S,S,1,2.224
11,17,R,R,1,2.1959
11,17,O,O,1,4.0606
11,17,U,U,1,2.6795
11,17,F,Not A Valid Character,0,2.7358
11,17,D,D,1,2.5604
11,17,W,W,1,3.3072
11,17,E,E,1,2.577
11,17,T,T,1,1.4137
11,17,I,I,1,1.6126
11,17,M,M,1,2.0329
11,17,A,A,1,1.6192
11,17,N,N,1,1.8011
11,17,S,S,1,1.8753
11,17,R,R,1,1.9603
11,17,O,E,0,1.1877
11,17,U,T,0,0.64137
11,17,F,E,0,0.75383
11,17,D,D,1,2.0966
11,17,W,W,1,2.2579
11,17,G,G,1,2.0961
11,17,K,K,1,2.3805
11,17,H,H,1,1.8411
11,17,B,B,1,2.0109
11,17,J,H,0,2.3366
12,17,E,E,1,2.638
12,17,T,E,0,2.0014
12,17,I,T,0,2.5679
12,17,M,T,0,3.5464
12,17,A,T,0,0.97353
12,17,N,N,1,4.6404
12,17,S,S,1,2.8186
12,17,R,R,1,2.8666
12,17,O,S,0,1.7972
12,17,U,U,1,5.3748
12,17,F,F,1,2.5982
12,17,E,E,1,2.4004
12,17,T,T,1,2.1522
12,17,I,I,1,1.6308
12,17,M,M,1,2.8122
12,17,A,A,1,1.9875
12,17,N,A,0,1.9576
12,17,S,S,1,1.9394
12,17,R,R,1,2.2391
12,17,O,O,1,3.1085
12,17,U,U,1,2.4239
12,17,F,F,1,2.4427
12,17,D,D,1,2.1927
12,17,W,W,1,2.402
12,17,G,G,1,2.6501
0,18,E,E,1,3.3268
0,18,T,T,1,1.2601
0,18,I,I,1,1.2615
0,18,M,M,1,1.6359
0,18,A,U,0,2.1046
0,18,N,N,1,1.8399
0,18,S,S,1,1.4461
0,18,R,N,0,1.9313
0,18,O,O,1,2.1627
0,18,U,U,1,1.6243
0,18,F,F,1,1.9552
0,18,D,E,0,1.1817
0,18,W,T,0,0.77862
0,18,G,A,0,1.7716
0,18,K,E,0,0.78001
